cand_id,number_of_contributions,total_contributions
H6MO01022,1,1000
H6MO01253,1,2700
H6MO02301,19,50000
H6MO04224,3,606
H6MO05189,2,1000
H6MO07128,7,21148
H6MS01131,97,150476
H6MS04192,3,15000
H6MT01095,116,294275
H6NC03146,1,5000
H6NC04037,126,217689
H6NC04151,2,2000
H6NC06099,2,1000
H6NC08145,5,1609
H6NC09184,2,599
H6NC10158,3,6500
H6NC11198,2,1000
H6NC13046,2,1000
H6NC13129,157,163885
H6NC13145,1,10
H6ND00074,5,5537
H6ND01015,2,4000
H6NE02125,240,2684387
H6NE03115,245,419210
H6NH01230,281,952371
H6NH01271,2,11368
H6NH02238,3,6500
H6NJ01204,3,3000
H6NJ05171,248,2437495
H6NJ06229,2,2100
H6NJ07151,3,6348
H6NJ08118,220,379010
H6NJ12136,128,269700
H6NJ12201,2,30
H6NJ13191,90,162010
H6NM01111,1,2000
H6NM02101,14,27486
H6NM03067,2,34
H6NV01208,2,1400
H6NV02248,21,47567
H6NV03063,11,11500
H6NV03139,367,8214779
H6NY01118,9,26256
H6NY01126,227,1077413
H6NY02116,1,19
H6NY02124,34,52182
H6NY03031,134,258566
H6NY03171,3,2250
H6NY03197,94,451425
H6NY03247,161,1115996
H6NY07149,16,91993
H6NY10119,1,1000
H6NY11174,110,228154
H6NY11190,1,5000
H6NY11216,3,2150
H6NY12115,2,2
H6NY13097,5,9000
H6NY13105,7,11800
H6NY13113,1,500
H6NY14244,3,158
H6NY16132,1,1000
H6NY18203,2,3000
H6NY19029,6,16750
H6NY19169,317,3947305
H6NY19193,1,500
H6NY19243,297,6754815
H6NY21132,57,483503
H6NY22114,6,1000
H6NY22130,215,2662942
H6NY22148,59,1677778
H6NY23518,128,506241
H6NY24177,165,2275033
H6NY25133,1,2500
H6OH01096,6,9010
H6OH04082,89,138347
H6OH05022,1,2500
H6OH05097,2,599
H6OH06038,8,17313
H6OH06152,3,4000
H6OH07127,2,2000
H6OH08133,1,1000
H6OH08190,2,0
H6OH08313,4,177
H6OH08315,137,95454
H6OH08331,1,1000
H6OH09099,3,974
H6OH11160,2,1100
H6OH12127,1,1000
H6OH16136,6,3799
H6OR02116,433,908963
H6OR03064,201,400197
H6OR04047,190,376107
H6OR05143,37,143015
H6PA02155,2,2000
H6PA02171,104,252302
H6PA02197,3,4000
H6PA05133,1,10
H6PA08228,278,9716084
H6PA08277,398,6581384
H6PA09051,2,2000
H6PA09093,1,2000
H6PA11073,3,10000
H6PA14192,9,12500
H6PA16197,19,16000
H6PA16296,111,627285
H6PA16320,206,482949
H6PR00082,26,47648
H6SC02100,5,10000
H6SC04163,2,2500
H6SC05129,25,55500
H6SC07018,3,8000
H6SD00085,4,5551
H6SD01091,4,10000
H6TN01388,19,5518
H6TN04200,7,14000
H6TN05322,4,2012
H6TN08151,3,2000
H6TN09068,83,133770
H6TX02079,148,224881
H6TX03192,1,4999
H6TX06179,1,500
H6TX06203,2,3000
H6TX08100,606,1458424
H6TX08175,1,2968
H6TX09082,2,8
H6TX12060,166,313260
H6TX15055,4,0
H6TX15154,1,5000
H6TX15162,76,168400
H6TX15204,2,12
H6TX18141,7,8506
H6TX19099,123,256340
H6TX19123,1,1000
H6TX19131,2,2500
H6TX21012,140,265630
H6TX21228,10,25547
H6TX24149,1,10
H6TX25179,1,250
H6TX27076,1,1000
H6TX27092,1,1000
H6TX28074,2,10
H6TX31045,2,5000
H6TX34031,2,6
H6UT01137,2,1550
H6VA01117,148,306441
H6VA01174,1,500
H6VA02115,2,1500
H6VA03089,6,4014
H6VA04061,131,259933
H6VA05118,78,1085015
H6VA05142,128,240319
H6VA06061,2,3500
H6VA06157,7,2980
H6VA07130,7,7477
H6VA07148,15,14738
H6VA08237,4,6500
H6VA09086,5,3202
H6VA10209,247,9500901
H6VT00160,149,272312
H6WA01170,2,0
H6WA03218,8,23000
H6WA04141,1,500
H6WA05171,5,9530
H6WA07425,20,391528
H6WA07441,2,1500
H6WA07458,122,246501
H6WA08076,2,0
H6WA09025,131,274740
H6WI01226,2,1050
H6WI03099,329,630310
H6WI03149,1,2000
H6WI04063,1,3150
H6WI05110,3,2250
H6WI06100,6,6520
H6WI07181,5,7000
H6WI08155,276,1111331
H6WI08163,176,1963747
H6WI08189,3,5000
H6WV01087,15,78
H6WV02101,3,11000
H6WV03091,10,50
H6WY00159,109,272562
H6WY01058,1,1000
H6WY01074,4,10000
H8AZ01104,48,145540
H8CA01109,272,534689
H8CA04152,41,66969
H8CA05035,192,575113
H8CA09060,69,122060
H8CA12098,156,288270
H8CA12171,79,139054
H8CA20059,296,623180
H8CA34068,101,211774
H8CA41063,2,0
H8CA41139,3,3552
H8CA42061,11,13855
H8CA52052,147,262982
H8CO02137,21,10514
H8CO06138,415,6961415
H8CT01046,272,490452
H8CT04172,240,414891
H8FL00034,12,32500
H8FL15107,73,131931
H8FL16022,89,179050
H8FL25015,182,5908412
H8GA05072,3,4500
H8GA06146,3,2745
H8GA09041,1,5000
H8ID02064,155,301048
H8IL08044,1,500
H8IL09067,93,226597
H8IL13051,1,2500
H8IL14067,187,331396
H8IL18043,4,6000
H8IL19090,1,10
H8IL21021,1,2000
H8IN07184,129,234968
H8KS02090,254,468717
H8KY02031,326,540974
H8LA00017,1,1000
H8LA02054,181,339091
H8LA04225,14,22800
H8MA02041,224,530822
H8MA05143,66,121720
H8MA08071,91,201510
H8MD01094,123,220428
H8ME01120,32,54760
H8MI01107,8,13450
H8MI09068,4,3474
H8MN03069,116,1852557
H8MN03077,671,4993683
H8MN06047,32,26550
H8MN07078,1,220
H8MO09153,257,513250
H8MS03067,157,273630
H8MS04156,1,1000
H8NJ03073,288,637370
H8NJ04014,69,143395
H8NJ05052,385,4949383
H8NM01224,1,1000
H8NM01257,168,315620
H8NM02032,2,2000
H8NM03196,326,603311
H8NV03036,164,228123
H8NY01148,291,1624729
H8NY06048,145,275610
H8NY07046,341,766227
H8NY19058,103,218060
H8NY20056,87,171135
H8NY21203,153,249260
H8NY24066,25,23500
H8NY29032,160,249605
H8OH01043,147,249668
H8OH05036,222,361566
H8OH07099,1,1000
H8OH11141,187,299010
H8OH15076,406,775500
H8OH16066,1,500
H8OK04052,1,1000
H8OR05107,332,1020764
H8PA01153,56,147210
H8PA05071,136,204950
H8PA15096,11,19700
H8TN02069,57,98650
H8TX11035,1,2500
H8TX22107,261,438968
H8UT03089,139,287446
H8VA01147,129,187200
H8VA11039,3,4000
H8VA11062,200,343342
H8WA07132,6,8500
H8WI00018,1,5000
H8WI00026,1,16448
H8WI01024,407,1238400
H8WI09050,45,76630
H8WY00148,2,5000
P00001571,26,73760
P00002292,12,56711
P00003392,63047,144672611
P00006213,1,2500
P20000642,79,862989
P20002671,64,3598142
P20003984,7,1131
P40003063,2,2000
P40003576,1,100
P60003670,20,45900
P60006046,3,8500
P60006111,27,388292
P60006723,65,11430
P60007168,11,50517
P60007242,1,1000
P60007671,1,1000
P60007697,1,1000
P60008059,7,5300
P60012333,1,1278
P60014198,1,1000
P60021102,2,1420
P60022654,6,14118
P80001571,44208,256431190
P80002801,1,5000
P80003296,1,5000
P80005259,1,71
S0AK00121,6,17929
S0AR00150,440,1138421
S0CO00211,901,3023350
S0CO00237,7,8600
S0CT00177,371,777581
S0DE00092,4,9000
S0FL00319,5,72624
S0FL00338,2108,10540412
S0HI00126,2,26
S0IA00028,682,1650505
S0IL00261,1752,1281417
S0IN00053,42,-31500
S0IN00061,38,113500
S0IN00095,20,21625
S0KS00091,439,931685
S0KY00156,217,564823
S0LA00028,8,13386
S0LA00071,1,7045
S0MO00183,3437,12438645
S0ND00093,326,709430
S0NH00201,1,500
S0NH00219,5,3000
S0NH00235,1212,33576510
S0NM00041,1,18
S0NV00203,1,15580
S0NY00188,25,4530
S0NY00410,3,6365
S0OH00133,20120,17193993
S0PA00434,1,5000
S0SC00149,2,6000
S0UT00165,314,535216
S0WI00197,633,10774070
S0WV00090,22,25500
S2AZ00141,6,11000
S2CA00286,1,-5000
S2CA00377,1,2000
S2CT00132,3,34988
S2HI00106,5,14700
S2IN00091,17,31300
S2KY00012,11,33400
S2MA00139,4,1180
S2MA00170,5,12500
S2ME00109,2,3500
S2ME00158,22,33500
S2MT00096,2,3500
S2ND00099,12,24000
S2NE00094,23,26000
S2NM00088,11,16050
S2NV00183,17,19250
S2NY00259,21,25541
S2OH00170,1,500
S2SD00068,561,1239609
S2TN00058,3,4500
S2TX00106,14,32403
S2TX00312,2,0
S2VA00142,8,11244
S2WA00189,597,1270477
S2WI00219,10,15250
S2WI00243,2,2000
S4AK00099,478,1189621
S4AK00214,7,11500
S4AR00103,6,9500
S4CO00361,1,2500
