committee_id,state,zipcode,transaction_date,transaction_amount
C00580100,MD,21042,12032016,250
C00010603,PA,152322136,12162016,25
C00286807,FL,34773,12202016,40
C00550491,MO,63101,12062016,50
C00237495,CA,90071,12192016,150
C00286807,AK,99504,12202016,70
C00160937,SD,571057036,12092016,50
C00010603,MD,208743632,12012016,10
C00010603,PA,193201238,12222016,100
C00010603,VA,234544951,12282016,10
C00458000,GA,30328,12312016,4
C00010603,WA,982500309,12282016,25
C00010603,CA,956942103,12282016,25
C00010603,NY,107063011,12102016,25
C00575795,FL,323177256,12142016,25
C00019331,CA,94111,12022016,100
C00580100,WA,98053,12102016,74
C00010603,SC,295758896,12042016,10
C00010603,MD,208545413,12062016,50
C00010603,VT,054918659,12262016,15
C00010603,NJ,085403604,12262016,10
C00425975,AR,722120000,12162016,20
C00362707,CA,95134,12312016,288
C00286807,NH,03031,12202016,20
C00010603,CA,919423900,12292016,10
C00002972,VA,221012516,12082016,41
C00343459,NJ,080434512,12042016,500
C00010603,CA,945012199,12112016,10
C00010603,PA,152171434,12282016,25
C00010603,MO,641336867,12282016,10
C00010603,IL,606163836,12032016,10
C00010603,PA,191502309,12132016,10
C00010603,CO,813212657,12282016,80
C00581199,CA,90601,12032016,100
C00013342,PA,15701,12022016,24
C00010603,IL,602011918,12102016,200
C00580100,IA,50616,12102016,-250
C00544957,NY,14850,12312016,33
C00010603,MA,017701305,12092016,50
C00010603,WA,981042081,12272016,25
C00581199,OR,97478,12072016,1500
C00581199,GA,300602086,12042016,100
C00010603,NY,117681959,12292016,15
C00010603,CT,069021033,12132016,10
C00010603,IL,603023313,12282016,50
C00010603,MD,208505447,12272016,10
C00458000,DC,200073343,12182016,12
C00575795,OR,974043146,12282016,-1
C00010603,VA,236051943,12232016,13
C00010603,MD,209045812,12142016,25
C00580100,TX,76120,12012016,1000
C00010603,VA,232356274,12222016,10
C00458000,CO,80424,12182016,10
C00010603,CT,060022035,12062016,10
C00010603,IL,606513607,12182016,25
C00010603,NJ,080033926,12262016,10
C00010603,MA,024513636,12142016,10
C00237495,CA,95814,12192016,180
C00010603,NY,11050,12072016,10
C00010603,TN,381202617,12062016,10
C00010603,WI,535723323,12022016,10
C00544957,NC,28012,12312016,200
C00580100,TX,78735,12012016,600
C00010603,CA,900311339,12282016,35
C00010603,NJ,076313107,12042016,25
C00002972,IL,610280390,12192016,50
C00033555,GA,31792,12152016,96
C00575795,WA,20229,11302016,55
C00010603,CA,941073337,12292016,250
C00581199,CA,91042,12052016,500
C00513077,CA,93001,12092016,70
C00458000,TX,778014407,12042016,50
C00019331,HI,96825,12202016,35
C00575795,VA,201702888,12022016,50
C00458000,OH,45066,12112016,14
C00581199,CA,95008,12082016,500
