"","V1","V2","V3","V4","V5","V6","V7"
"146","H0FL03134",2010,2016,"C00483735","H","P",202005
"147","H0FL04033",2016,2016,"C00346767","H","P",202006
"148","H0FL04066",2016,2016,"C00573451","H","J",209161
"149","H0FL04066",2016,2016,"C00352849","H","P",202007
"150","H0FL04116",2014,2016,"C00566687","H","P",202008
"151","H0FL05139",2016,2016,"C00482281","H","P",202009
"152","H0FL06061",2012,2016,"C00462515","H","P",202010
"153","H0FL06079",2012,2016,"C00519439","H","P",202011
"154","H0FL07077",2012,2016,"C00515106","H","P",202012
"155","H0FL08042",2016,2016,"C00614818","H","P",211193
"156","H0FL08141",2010,2016,"C00472936","H","P",202013
"157","H0FL08166",2010,2016,"C00475459","H","P",202014
"158","H0FL08174",2010,2016,"C00475517","H","P",202015
"159","H0FL08208",2016,2016,"C00571109","H","J",202017
"160","H0FL08208",2016,2016,"C00481911","H","P",202016
"161","H0FL08216",2010,2016,"C00483180","H","P",202018
"162","H0FL11137",2010,2016,"C00458711","H","P",202019
"163","H0FL11152",2010,2016,"C00468363","H","P",202020
"164","H0FL11186",2010,2016,"C00483099","H","P",202021
"165","H0FL12101",2016,2016,"C00459461","H","P",202022
"166","H0FL12127",2010,2016,"C00461566","H","P",202023
"167","H0FL12168",2010,2016,"C00473728","H","P",202024
"168","H0FL15054",2012,2016,"C00468488","H","P",202025
"169","H0FL17043",2010,2016,"C00464594","H","P",202026
"170","H0FL17068",2016,2016,"C00460055","H","P",202027
"171","H0FL17076",2010,2016,"C00461343","H","P",202028
"172","H0FL17100",2010,2016,"C00463455","H","P",202029
"173","H0FL17134",2010,2016,"C00481770","H","P",202030
"174","H0FL17142",2010,2016,"C00486456","H","P",202031
"175","H0FL18025",2016,2016,"C00280537","H","P",202032
"176","H0FL19049",2010,2016,"C00459768","H","P",202033
"177","H0FL19080",2016,2016,"C00469163","H","P",202034
"178","H0FL20054",2010,2016,"C00468645","H","P",202035
"179","H0FL20070",2014,2016,"C00474478","H","P",202036
"180","H0FL24049",2016,2016,"C00463877","H","P",202037
"181","H0FL24064",2010,2016,"C00465773","H","P",202038
"182","H0FL24072",2010,2016,"C00466128","H","P",202039
"183","H0FL24098",2010,2016,"C00470229","H","P",202040
"184","H0FL24155",2010,2016,"C00480343","H","P",202041
"185","H0FL24163",2010,2016,"C00480970","H","P",202042
"186","H0FL24171",2014,2016,"C00492330","H","P",202043
"187","H0FL25012",2010,2016,"C00468942","H","P",202044
"188","H0FL25038",2014,2016,"C00477356","H","P",202045
"189","H0FL25079",2010,2016,"C00486167","H","P",202046
"190","H0GA02225",2010,2016,"C00475939","H","P",202047
"191","H0GA04023",2010,2016,"C00255976","N","U",202048
"192","H0GA04106",2016,2016,"C00482075","H","A",202049
"193","H0GA04106",2016,2016,"C00615021","H","P",211179
"194","H0GA07125",2016,2016,"C00544445","H","P",202050
"195","H0GA07125",2016,2016,"C00569079","N","J",202051
"196","H0GA07133",2016,2016,"C00482307","H","P",202052
"197","H0GA07141",2010,2016,"C00482398","H","P",202053
"198","H0GA07174",2010,2016,"C00483172","H","P",202054
"199","H0GA08057",2010,2016,"C00469536","H","P",202055
"200","H0GA08065",2016,2016,"C00611582","H","P",210951
"201","H0GA08073",2010,2016,"C00475780","H","P",202056
"202","H0GA08081",2014,2016,"C00611541","H","P",210938
"203","H0GA08099",2016,2016,"C00544510","N","J",202059
"204","H0GA08099",2016,2016,"C00482737","H","P",202057
"205","H0GA08099",2016,2016,"C00493783","H","J",202058
"206","H0GA09030",2016,2016,"C00501866","N","J",202061
"207","H0GA09030",2016,2016,"C00462556","H","P",202060
"208","H0GA09063",2010,2016,"C00463166","H","P",202062
"209","H0GA09089",2010,2016,"C00465617","H","P",202063
"210","H0GA09139",2010,2016,"C00473462","H","P",202064
"211","H0GA10228",2010,2016,"C00470393","H","P",202065
"212","H0GA10236",2010,2016,"C00479014","H","P",202066
"213","H0GA13016",2010,2016,"C00459826","H","P",202067
"214","H0GA13032",2016,2016,"C00476457","H","P",211140
"215","H0GA13081",2010,2016,"C00482844","H","P",202068
"216","H0GA13099",2016,2016,"C00483362","H","P",202069
"217","H0HI01058",2006,2016,"C00383562","H","A",202070
"218","H0HI01157",2014,2016,"C00558833","H","P",202071
"219","H0HI01165",2012,2016,"C00478974","H","P",202072
"220","H0HI01181",2010,2016,"C00479709","H","P",202073
"221","H0HI02130",2010,2016,"C00485086","H","P",202074
"222","H0IA01133",2010,2016,"C00483610","H","P",202075
"223","H0IA02107",2010,2016,"C00488171","H","P",202076
"224","H0IA02123",2010,2016,"C00484063","H","P",202077
